Reach #,GEN,RKM,Region,Survival estimate (SE),LCI,UCI
0,RBDD_Rel,461.57,Upper Sac R,1 (NA),NA,NA
1,Blw_Salt,456.88,Upper Sac R,1 (NaN),NaN,NaN
2,BankRobber,452.55,Upper Sac R,0.929 (0.069),0.63,0.99
3,Lwr_Ant_Crk,447.29999999999995,Upper Sac R,0.857 (0.094),0.573,0.964
4,Mill_Ck_Conf,441.31,Upper Sac R,0.714 (0.121),0.439,0.889
5,Abv_WoodsonBr,425.15,Upper Sac R,0.571 (0.132),0.316,0.794
6,Blw_Woodson,421.4,Upper Sac R,0.429 (0.132),0.206,0.684
7,GCID_abv,406.11,Upper Sac R,0.286 (0.121),0.111,0.561
8,GCID_blw,404.42,Upper Sac R,0.286 (0.121),0.111,0.561
9,Blw_IrvineFinch,394.66,Upper Sac R,0.286 (0.121),0.111,0.561
